hotel_id,hotel_name,combined
new york,new york,new york
los angeles,los angeles,los angeles
chicago,chicago,chicago
houston,houston,houston
phoenix,phoenix,phoenix
philadelphia,philadelphia,philadelphia
san antonio,san antonio,san antonio
san diego,san diego,san diego
dallas,dallas,dallas
san jose,san jose,san jose
austin,austin,austin
jacksonville,jacksonville,jacksonville
fort worth,fort worth,fort worth
columbus,columbus,columbus
charlotte,charlotte,charlotte
san francisco,san francisco,san francisco
indianapolis,indianapolis,indianapolis
seattle,seattle,seattle
denver,denver,denver
washington,washington,washington
boston,boston,boston
el paso,el paso,el paso
detroit,detroit,detroit
nashville,nashville,nashville
memphis,memphis,memphis
portland,portland,portland
oklahoma city,oklahoma city,oklahoma city
las vegas,las vegas,las vegas
louisville,louisville,louisville
baltimore,baltimore,baltimore
milwaukee,milwaukee,milwaukee
albuquerque,albuquerque,albuquerque
tucson,tucson,tucson
fresno,fresno,fresno
mesa,mesa,mesa
sacramento,sacramento,sacramento
atlanta,atlanta,atlanta
kansas city,kansas city,kansas city
colorado springs,colorado springs,colorado springs
miami,miami,miami
raleigh,raleigh,raleigh
omaha,omaha,omaha
long beach,long beach,long beach
virginia beach,virginia beach,virginia beach
oakland,oakland,oakland
minneapolis,minneapolis,minneapolis
tulsa,tulsa,tulsa
arlington,arlington,arlington
tampa,tampa,tampa
new orleans,new orleans,new orleans
wichita,wichita,wichita
cleveland,cleveland,cleveland
bakersfield,bakersfield,bakersfield
aurora,aurora,aurora
anaheim,anaheim,anaheim
honolulu,honolulu,honolulu
santa ana,santa ana,santa ana
riverside,riverside,riverside
corpus christi,corpus christi,corpus christi
lexington,lexington,lexington
stockton,stockton,stockton
henderson,henderson,henderson
st. paul,st. paul,st. paul
st. louis,st. louis,st. louis
pittsburgh,pittsburgh,pittsburgh
cincinnati,cincinnati,cincinnati
anchorage,anchorage,anchorage
greensboro,greensboro,greensboro
plano,plano,plano
lincoln,lincoln,lincoln
orlando,orlando,orlando
irvine,irvine,irvine
newark,newark,newark
durham,durham,durham
chula vista,chula vista,chula vista
toledo,toledo,toledo
fort wayne,fort wayne,fort wayne
st. petersburg,st. petersburg,st. petersburg
laredo,laredo,laredo
jersey city,jersey city,jersey city
chandler,chandler,chandler
madison,madison,madison
lubbock,lubbock,lubbock
scottsdale,scottsdale,scottsdale
reno,reno,reno
buffalo,buffalo,buffalo
gilbert,gilbert,gilbert
glendale,glendale,glendale
north las vegas,north las vegas,north las vegas
winston-salem,winston-salem,winston-salem
chesapeake,chesapeake,chesapeake
norfolk,norfolk,norfolk
fremont,fremont,fremont
garland,garland,garland
irving,irving,irving
hialeah,hialeah,hialeah
boise,boise,boise
spokane,spokane,spokane
baton rouge,baton rouge,baton rouge
richmond,richmond,richmond
des moines,des moines,des moines
california, california, california
texas, texas, texas
florida, florida, florida
idaho, idaho, idaho
washington, washington, washington
louisiana, louisiana, louisiana
virginia, virginia, virginia
iowa, iowa, iowa
new york, new york, new york
illinois, illinois, illinois
arizona, arizona, arizona
pennsylvania, pennsylvania, pennsylvania
ohio, ohio, ohio
north carolina, north carolina, north carolina
indiana, indiana, indiana
colorado, colorado, colorado
d.c., d.c., d.c.
massachusetts, massachusetts, massachusetts
michigan, michigan, michigan
tennessee, tennessee, tennessee
oregon, oregon, oregon
oklahoma, oklahoma, oklahoma
nevada, nevada, nevada
kentucky, kentucky, kentucky
maryland, maryland, maryland
wisconsin, wisconsin, wisconsin
new mexico, new mexico, new mexico
georgia, georgia, georgia
missouri, missouri, missouri
nebraska, nebraska, nebraska
minnesota, minnesota, minnesota
kansas, kansas, kansas
hawaii, hawaii, hawaii
alaska, alaska, alaska
new jersey, new jersey, new jersey
