hotel_id,hotel_name,combined,hotel_site_id
OXRTC,Courtyard Thousand Oaks Agoura Hills,oxrtc-courtyard-thousand-oaks-agoura-hills,Marriott-OXRTC
BURAH,Sheraton Agoura Hills Hotel,burah-sheraton-agoura-hills-hotel,Marriott-BURAH
OXRAH,TownePlace Suites Thousand Oaks Agoura Hills,oxrah-towneplace-suites-thousand-oaks-agoura-hills,Marriott-OXRAH
SNAAV,Renaissance ClubSport Aliso Viejo Laguna Beach Hotel,snaav-renaissance-clubsport-aliso-viejo-laguna-beach-hotel,Marriott-SNAAV
SFOAC,Fairfield Inn & Suites Napa American Canyon,sfoac-fairfield-inn-&-suites-napa-american-canyon,Marriott-SFOAC
LAXAD,Courtyard Anaheim Resort/Convention Center,laxad-courtyard-anaheim-resort/convention-center,Marriott-LAXAD
SNADT,Courtyard Anaheim Theme Park Entrance,snadt-courtyard-anaheim-theme-park-entrance,Marriott-SNADT
LAXOC,Fairfield Anaheim Resort,laxoc-fairfield-anaheim-resort,Marriott-LAXOC
SNAJW,"JW Marriott, Anaheim Resort","snajw-jw-marriott,-anaheim-resort",Marriott-SNAJW
LAXAH,Anaheim Marriott,laxah-anaheim-marriott,Marriott-LAXAH
SNAAR,Residence Inn at Anaheim Resort/Convention Center,snaar-residence-inn-at-anaheim-resort/convention-center,Marriott-SNAAR
SNAAO,SpringHill Suites Anaheim Maingate,snaao-springhill-suites-anaheim-maingate,Marriott-SNAAO
SNAAD,SpringHill Suites at Anaheim Resort/Convention Center,snaad-springhill-suites-at-anaheim-resort/convention-center,Marriott-SNAAD
SNAEL,Element Anaheim Resort Convention Center,snael-element-anaheim-resort-convention-center,Marriott-SNAEL
SNAFP,Four Points by Sheraton Anaheim,snafp-four-points-by-sheraton-anaheim,Marriott-SNAFP
SNAPS,Sheraton Park Hotel at the Anaheim Resort,snaps-sheraton-park-hotel-at-the-anaheim-resort,Marriott-SNAPS
SNATS,TownePlace Suites Anaheim Maingate Near Angel Stadium,snats-towneplace-suites-anaheim-maingate-near-angel-stadium,Marriott-SNATS
SNATX,"The Viv Hotel, Anaheim, a Tribute Portfolio Hotel","snatx-the-viv-hotel,-anaheim,-a-tribute-portfolio-hotel",Marriott-SNATX
SNAWA,The Westin Anaheim Resort,snawa-the-westin-anaheim-resort,Marriott-SNAWA
LAXAM,Fairfield Inn Anaheim Hills Orange County,laxam-fairfield-inn-anaheim-hills-orange-county,Marriott-LAXAM
LAXAL,Residence Inn Anaheim Hills Yorba Linda,laxal-residence-inn-anaheim-hills-yorba-linda,Marriott-LAXAL
BWRAR,Residence Inn Pasadena Arcadia,bwrar-residence-inn-pasadena-arcadia,Marriott-BWRAR
LAXSH,SpringHill Suites Pasadena Arcadia,laxsh-springhill-suites-pasadena-arcadia,Marriott-LAXSH
LAXME,Le Méridien Pasadena Arcadia,laxme-le-méridien-pasadena-arcadia,Marriott-LAXME
SBPSH,SpringHill Suites Paso Robles Atascadero,sbpsh-springhill-suites-paso-robles-atascadero,Marriott-SBPSH
AUNSH,Hotel Vista Sierra,aunsh-hotel-vista-sierra,Marriott-AUNSH
BFLCH,Courtyard Bakersfield,bflch-courtyard-bakersfield,Marriott-BFLCH
BFLFN,Fairfield Inn & Suites Bakersfield Central,bflfn-fairfield-inn-&-suites-bakersfield-central,Marriott-BFLFN
BFLNA,Fairfield Inn & Suites Bakersfield North/Airport,bflna-fairfield-inn-&-suites-bakersfield-north/airport,Marriott-BFLNA
BFLMC,Bakersfield Marriott at the Convention Center,bflmc-bakersfield-marriott-at-the-convention-center,Marriott-BFLMC
BFLRI,Residence Inn Bakersfield,bflri-residence-inn-bakersfield,Marriott-BFLRI
BFLRW,Residence Inn Bakersfield West,bflrw-residence-inn-bakersfield-west,Marriott-BFLRW
BFLSH,SpringHill Suites Bakersfield,bflsh-springhill-suites-bakersfield,Marriott-BFLSH
BFLFP,Four Points by Sheraton Bakersfield,bflfp-four-points-by-sheraton-bakersfield,Marriott-BFLFP
BFLTS,TownePlace Suites Bakersfield West,bflts-towneplace-suites-bakersfield-west,Marriott-BFLTS
LAXBP,Courtyard Los Angeles Baldwin Park,laxbp-courtyard-los-angeles-baldwin-park,Marriott-LAXBP
ONTBA,Fairfield Inn & Suites Barstow,ontba-fairfield-inn-&-suites-barstow,Marriott-ONTBA
ONTTB,TownePlace Suites Barstow,onttb-towneplace-suites-barstow,Marriott-ONTTB
SFOBM,SpringHill Suites Belmont Redwood Shores,sfobm-springhill-suites-belmont-redwood-shores,Marriott-SFOBM
OAKRR,Residence Inn Berkeley,oakrr-residence-inn-berkeley,Marriott-OAKRR
LAXDS,"Avalon Hotel Beverly Hills, a Member of Design Hotels™","laxds-avalon-hotel-beverly-hills,-a-member-of-design-hotels™",Marriott-LAXDS
LAXEA,Residence Inn Anaheim Brea,laxea-residence-inn-anaheim-brea,Marriott-LAXEA
SBASY,Santa Ynez Valley Marriott,sbasy-santa-ynez-valley-marriott,Marriott-SBASY
SNABP,Courtyard Anaheim Buena Park,snabp-courtyard-anaheim-buena-park,Marriott-SNABP
SNAPK,Fairfield Inn & Suites Anaheim North/Buena Park,snapk-fairfield-inn-&-suites-anaheim-north/buena-park,Marriott-SNAPK
BURCY,Courtyard Los Angeles Burbank Airport,burcy-courtyard-los-angeles-burbank-airport,Marriott-BURCY
BURAP,Los Angeles Marriott Burbank Airport,burap-los-angeles-marriott-burbank-airport,Marriott-BURAP
BURRI,Residence Inn Los Angeles Burbank/Downtown,burri-residence-inn-los-angeles-burbank/downtown,Marriott-BURRI
BURSH,SpringHill Suites Los Angeles Burbank/Downtown,bursh-springhill-suites-los-angeles-burbank/downtown,Marriott-BURSH
SFOBC,Courtyard San Francisco Airport Burlingame,sfobc-courtyard-san-francisco-airport-burlingame,Marriott-SFOBC
SFOBG,San Francisco Airport Marriott Waterfront,sfobg-san-francisco-airport-marriott-waterfront,Marriott-SFOBG
OXRVC,Fairfield Inn & Suites Camarillo,oxrvc-fairfield-inn-&-suites-camarillo,Marriott-OXRVC
OXRCR,Residence Inn Camarillo,oxrcr-residence-inn-camarillo,Marriott-OXRCR
SJCCC,Courtyard San Jose Campbell,sjccc-courtyard-san-jose-campbell,Marriott-SJCCC
SJCBA,Residence Inn San Jose Campbell,sjcba-residence-inn-san-jose-campbell,Marriott-SJCBA
SJCCB,TownePlace Suites San Jose Campbell,sjccb-towneplace-suites-san-jose-campbell,Marriott-SJCCB
SJCCP,Fairfield Inn & Suites Santa Cruz - Capitola,sjccp-fairfield-inn-&-suites-santa-cruz---capitola,Marriott-SJCCP
SANCS,Courtyard San Diego Carlsbad,sancs-courtyard-san-diego-carlsbad,Marriott-SANCS
SANFD,Fairfield Inn & Suites San Diego Carlsbad,sanfd-fairfield-inn-&-suites-san-diego-carlsbad,Marriott-SANFD
SANCB,Residence Inn San Diego Carlsbad,sancb-residence-inn-san-diego-carlsbad,Marriott-SANCB
SANSC,SpringHill Suites San Diego Carlsbad,sansc-springhill-suites-san-diego-carlsbad,Marriott-SANSC
SANBS,Sheraton Carlsbad Resort & Spa,sanbs-sheraton-carlsbad-resort-&-spa,Marriott-SANBS
SANWC,The Westin Carlsbad Resort & Spa,sanwc-the-westin-carlsbad-resort-&-spa,Marriott-SANWC
LGBSI,Sheraton Cerritos Hotel,lgbsi-sheraton-cerritos-hotel,Marriott-LGBSI
LAXRT,Residence Inn Chatsworth,laxrt-residence-inn-chatsworth,Marriott-LAXRT
CICCY,Courtyard Chico,ciccy-courtyard-chico,Marriott-CICCY
CICRI,Residence Inn Chico,cicri-residence-inn-chico,Marriott-CICRI
ONTFC,Fairfield Inn & Suites Chino,ontfc-fairfield-inn-&-suites-chino,Marriott-ONTFC
ONTCH,TownePlace Suites Ontario Chino Hills,ontch-towneplace-suites-ontario-chino-hills,Marriott-ONTCH
SANVR,Residence Inn San Diego Chula Vista,sanvr-residence-inn-san-diego-chula-vista,Marriott-SANVR
FATCC,Courtyard Fresno Clovis,fatcc-courtyard-fresno-clovis,Marriott-FATCC
FATCV,Fairfield Inn & Suites Fresno Clovis,fatcv-fairfield-inn-&-suites-fresno-clovis,Marriott-FATCV
FATCL,Residence Inn Fresno Clovis,fatcl-residence-inn-fresno-clovis,Marriott-FATCL
FATTF,TownePlace Suites Fresno Clovis,fattf-towneplace-suites-fresno-clovis,Marriott-FATTF
ONTCO,Residence Inn Corona Riverside,ontco-residence-inn-corona-riverside,Marriott-ONTCO
ONTCR,SpringHill Suites Corona Riverside,ontcr-springhill-suites-corona-riverside,Marriott-ONTCR
SANCI,Coronado Island Marriott Resort & Spa,sanci-coronado-island-marriott-resort-&-spa,Marriott-SANCI
SNAST,Costa Mesa Marriott,snast-costa-mesa-marriott,Marriott-SNAST
CSMNB,Residence Inn Costa Mesa Newport Beach,csmnb-residence-inn-costa-mesa-newport-beach,Marriott-CSMNB
CSMTX,"Avenue of the Arts Costa Mesa, a Tribute Portfolio Hotel","csmtx-avenue-of-the-arts-costa-mesa,-a-tribute-portfolio-hotel",Marriott-CSMTX
SNAWI,"The Westin South Coast Plaza, Costa Mesa","snawi-the-westin-south-coast-plaza,-costa-mesa",Marriott-SNAWI
LAXCV,Courtyard by Marriott Culver City Los Angeles,laxcv-courtyard-by-marriott-culver-city-los-angeles,Marriott-LAXCV
LAXWF,Four Points by Sheraton Los Angeles Westside,laxwf-four-points-by-sheraton-los-angeles-westside,Marriott-LAXWF
SJCCU,Courtyard San Jose Cupertino,sjccu-courtyard-san-jose-cupertino,Marriott-SJCCU
SJCPT,Residence Inn San Jose Cupertino,sjcpt-residence-inn-san-jose-cupertino,Marriott-SJCPT
SJCUP,Aloft Cupertino,sjcup-aloft-cupertino,Marriott-SJCUP
LGBCP,Courtyard Cypress Anaheim/Orange County,lgbcp-courtyard-cypress-anaheim/orange-county,Marriott-LGBCP
SNADP,Laguna Cliffs Marriott Resort & Spa,snadp-laguna-cliffs-marriott-resort-&-spa,Marriott-SNADP
SNARZ,"The Ritz-Carlton, Laguna Niguel","snarz-the-ritz-carlton,-laguna-niguel",Marriott-SNARZ
SACRD,Residence Inn Sacramento Davis,sacrd-residence-inn-sacramento-davis,Marriott-SACRD
LAXSD,SpringHill Suites Los Angeles Downey,laxsd-springhill-suites-los-angeles-downey,Marriott-LAXSD
OAKAL,Aloft Dublin-Pleasanton,oakal-aloft-dublin-pleasanton,Marriott-OAKAL
SANEC,Courtyard San Diego El Cajon,sanec-courtyard-san-diego-el-cajon,Marriott-SANEC
IPLFI,Fairfield Inn & Suites El Centro,iplfi-fairfield-inn-&-suites-el-centro,Marriott-IPLFI
IPLTS,TownePlace Suites El Centro,iplts-towneplace-suites-el-centro,Marriott-IPLTS
LAXAE,AC Hotel Los Angeles South Bay,laxae-ac-hotel-los-angeles-south-bay,Marriott-LAXAE
LAXXL,Fairfield Inn & Suites Los Angeles LAX/El Segundo,laxxl-fairfield-inn-&-suites-los-angeles-lax/el-segundo,Marriott-LAXXL
LAXEL,Residence Inn Los Angeles LAX/El Segundo,laxel-residence-inn-los-angeles-lax/el-segundo,Marriott-LAXEL
LAXLA,Aloft El Segundo - Los Angeles Airport,laxla-aloft-el-segundo---los-angeles-airport,Marriott-LAXLA
SACEK,Fairfield Inn & Suites Sacramento Elk Grove,sacek-fairfield-inn-&-suites-sacramento-elk-grove,Marriott-SACEK
SACTG,TownePlace Suites Sacramento Elk Grove,sactg-towneplace-suites-sacramento-elk-grove,Marriott-SACTG
SFOFP,Four Points by Sheraton San Francisco Bay Bridge,sfofp-four-points-by-sheraton-san-francisco-bay-bridge,Marriott-SFOFP
SANSD,SpringHill Suites San Diego Escondido/Downtown,sansd-springhill-suites-san-diego-escondido/downtown,Marriott-SANSD
SFOFN,Courtyard Fairfield Napa Valley Area,sfofn-courtyard-fairfield-napa-valley-area,Marriott-SFOFN
OAKNP,Fairfield Inn & Suites Fairfield Napa Valley Area,oaknp-fairfield-inn-&-suites-fairfield-napa-valley-area,Marriott-OAKNP
OAKFN,Residence Inn Fairfield Napa,oakfn-residence-inn-fairfield-napa,Marriott-OAKFN
SACFO,Courtyard Sacramento Folsom,sacfo-courtyard-sacramento-folsom,Marriott-SACFO
